Actual	Predicted	Top1_Prob	Top1_Class	Top2_Prob	Top2_Class	Top3_Prob	Top3_Class
cat	dog	0.5955	dog	0.1827	horse	0.1123	cat
ship	ship	0.9941	ship	0.0017	plane	0.0017	deer
ship	ship	0.6494	ship	0.1549	deer	0.1268	plane
car	cat	0.9314	cat	0.0604	dog	0.0053	bird
car	deer	0.4518	deer	0.2625	ship	0.2306	cat
horse	horse	0.9756	horse	0.0194	dog	0.0020	cat
bird	bird	0.9177	bird	0.0375	cat	0.0118	plane
dog	deer	0.9595	deer	0.0141	horse	0.0086	dog
bird	deer	0.9638	deer	0.0295	cat	0.0051	dog
horse	deer	0.3687	deer	0.1957	bird	0.1286	ship
ship	ship	0.8625	ship	0.1142	deer	0.0122	plane
truck	ship	0.8877	ship	0.0418	truck	0.0386	plane
plane	deer	0.6241	deer	0.1955	ship	0.1646	plane
cat	cat	0.8521	cat	0.1054	bird	0.0168	deer
ship	deer	0.9325	deer	0.0566	ship	0.0072	bird
frog	frog	0.9225	frog	0.0709	cat	0.0025	bird
deer	deer	0.9035	deer	0.0291	horse	0.0227	ship
frog	frog	0.9949	frog	0.0043	cat	0.0004	bird
frog	deer	0.4054	deer	0.3509	frog	0.1565	plane
plane	plane	0.7013	plane	0.1372	ship	0.0939	cat
plane	plane	0.9457	plane	0.0479	bird	0.0057	cat
horse	cat	0.4913	cat	0.1899	bird	0.1385	frog
deer	deer	0.7263	deer	0.2056	cat	0.0201	frog
dog	cat	0.4602	cat	0.2208	deer	0.1871	bird
frog	frog	0.6607	frog	0.3367	cat	0.0020	dog
cat	cat	0.9968	cat	0.0011	frog	0.0011	bird
car	car	0.9612	car	0.0334	ship	0.0011	cat
car	car	0.9364	car	0.0207	plane	0.0174	cat
cat	bird	0.5675	bird	0.1598	plane	0.0849	cat
frog	cat	0.6697	cat	0.2806	deer	0.0190	bird
ship	ship	0.5090	ship	0.1955	bird	0.1840	plane
horse	horse	0.9229	horse	0.0430	cat	0.0285	dog
deer	horse	0.9048	horse	0.0836	deer	0.0088	dog
plane	plane	0.9877	plane	0.0094	bird	0.0013	deer
frog	bird	0.9215	bird	0.0315	cat	0.0284	frog
bird	cat	0.4155	cat	0.2620	plane	0.1160	bird
car	deer	0.7548	deer	0.1286	plane	0.0557	ship
cat	cat	0.9906	cat	0.0042	dog	0.0025	bird
plane	deer	0.3546	deer	0.2137	plane	0.1774	ship
deer	deer	0.9929	deer	0.0059	cat	0.0003	plane
bird	cat	0.4725	cat	0.2708	frog	0.2090	bird
horse	deer	0.7217	deer	0.0962	cat	0.0749	horse
ship	ship	0.9784	ship	0.0107	plane	0.0068	deer
cat	cat	0.4865	cat	0.4132	deer	0.0535	bird
car	truck	0.2716	truck	0.2044	frog	0.1647	deer
bird	bird	0.6433	bird	0.2314	cat	0.1145	plane
ship	ship	0.5386	ship	0.2169	cat	0.1369	plane
plane	plane	0.4905	plane	0.2421	ship	0.1952	bird
ship	cat	0.4938	cat	0.3025	ship	0.0588	frog
cat	cat	0.5453	cat	0.2054	deer	0.1196	frog
dog	frog	0.9090	frog	0.0740	cat	0.0072	plane
bird	bird	0.9652	bird	0.0310	plane	0.0019	frog
deer	deer	0.9772	deer	0.0175	bird	0.0021	cat
car	car	0.9930	car	0.0030	cat	0.0029	ship
ship	deer	0.7127	deer	0.2250	ship	0.0422	cat
truck	truck	0.7939	truck	0.1652	cat	0.0260	car
car	frog	0.9848	frog	0.0071	cat	0.0036	deer
bird	cat	0.6944	cat	0.1852	deer	0.0562	bird
truck	horse	0.5951	horse	0.1685	deer	0.0838	cat
horse	horse	0.9541	horse	0.0313	dog	0.0064	cat
bird	cat	0.4666	cat	0.3770	deer	0.0677	bird
truck	ship	0.8114	ship	0.0607	cat	0.0573	plane
frog	frog	0.4475	frog	0.4364	cat	0.0543	deer
dog	dog	0.6251	dog	0.3032	horse	0.0514	cat
frog	frog	0.7420	frog	0.1905	cat	0.0165	ship
cat	deer	0.9172	deer	0.0547	cat	0.0194	horse
ship	bird	0.3792	bird	0.2914	ship	0.2240	cat
horse	bird	0.4303	bird	0.2434	horse	0.1320	dog
frog	frog	0.9991	frog	0.0007	bird	0.0001	cat
bird	cat	0.8560	cat	0.1378	dog	0.0058	bird
dog	dog	0.8710	dog	0.0615	horse	0.0375	cat
bird	bird	0.9323	bird	0.0605	cat	0.0031	dog
ship	ship	0.9571	ship	0.0213	deer	0.0095	bird
truck	frog	0.7776	frog	0.0820	deer	0.0599	cat
frog	frog	0.5905	frog	0.2235	cat	0.0905	deer
plane	plane	0.2987	plane	0.2737	deer	0.1541	dog
plane	cat	0.4303	cat	0.4015	plane	0.0664	ship
dog	cat	0.9027	cat	0.0534	bird	0.0214	frog
bird	bird	0.3259	bird	0.3036	plane	0.2166	cat
truck	cat	0.3598	cat	0.3161	deer	0.1465	truck
dog	cat	0.6186	cat	0.1349	deer	0.0556	frog
deer	deer	0.9943	deer	0.0047	cat	0.0004	bird
bird	cat	0.4399	cat	0.2918	bird	0.1656	frog
car	plane	0.6078	plane	0.1444	frog	0.0971	ship
frog	bird	0.5105	bird	0.4665	cat	0.0093	dog
frog	deer	0.3885	deer	0.3402	cat	0.2094	bird
ship	ship	0.8854	ship	0.0329	cat	0.0299	deer
deer	deer	0.9937	deer	0.0061	bird	0.0001	cat
ship	ship	0.3200	ship	0.2423	deer	0.2131	cat
deer	deer	0.7520	deer	0.1371	frog	0.0471	plane
dog	cat	0.5051	cat	0.4472	deer	0.0233	dog
plane	ship	0.9363	ship	0.0315	cat	0.0143	plane
truck	truck	0.7118	truck	0.2401	cat	0.0358	car
truck	plane	0.5166	plane	0.2633	deer	0.1555	truck
truck	cat	0.3595	cat	0.2598	deer	0.2032	ship
ship	ship	0.9597	ship	0.0137	deer	0.0121	cat
truck	truck	0.8659	truck	0.0666	ship	0.0379	plane
truck	ship	0.4940	ship	0.3932	frog	0.0345	truck
cat	cat	0.3482	cat	0.2439	horse	0.1815	dog
horse	deer	0.8142	deer	0.0619	cat	0.0345	horse
dog	cat	0.6366	cat	0.1149	deer	0.0922	plane
plane	plane	0.9072	plane	0.0364	ship	0.0303	truck
plane	plane	0.9722	plane	0.0236	ship	0.0018	deer
dog	dog	0.9326	dog	0.0412	deer	0.0153	horse
bird	bird	0.8709	bird	0.1055	horse	0.0187	plane
bird	cat	0.7261	cat	0.1019	deer	0.0605	frog
cat	cat	0.9965	cat	0.0022	dog	0.0008	deer
ship	ship	0.5587	ship	0.2185	deer	0.1363	plane
frog	frog	0.5976	frog	0.3402	bird	0.0436	cat
cat	cat	0.9106	cat	0.0442	deer	0.0129	plane
deer	cat	0.6912	cat	0.2139	bird	0.0572	dog
plane	deer	0.4530	deer	0.3778	plane	0.0721	ship
dog	frog	0.3474	frog	0.2833	deer	0.1833	bird
ship	cat	0.6042	cat	0.3175	deer	0.0620	ship
plane	plane	0.7980	plane	0.1112	ship	0.0656	deer
car	frog	0.4876	frog	0.1759	cat	0.1132	plane
horse	bird	0.4213	bird	0.1644	dog	0.1583	frog
bird	cat	0.4504	cat	0.3392	bird	0.1525	dog
ship	deer	0.8788	deer	0.0872	ship	0.0208	cat
ship	ship	0.7132	ship	0.1944	horse	0.0326	deer
horse	bird	0.3017	bird	0.2703	cat	0.2154	horse
ship	cat	0.6451	cat	0.1858	frog	0.0546	bird
dog	cat	0.9141	cat	0.0819	dog	0.0014	bird
car	deer	0.8439	deer	0.0924	ship	0.0196	plane
ship	ship	0.9862	ship	0.0059	deer	0.0044	plane
horse	horse	0.6080	horse	0.3867	deer	0.0024	dog
car	deer	0.7642	deer	0.1322	cat	0.0480	dog
cat	cat	0.5317	cat	0.1872	deer	0.1188	plane
plane	deer	0.7551	deer	0.2335	plane	0.0061	ship
dog	dog	0.6244	dog	0.3056	deer	0.0252	bird
horse	horse	0.9995	horse	0.0003	deer	0.0002	dog
truck	deer	0.5087	deer	0.2218	ship	0.1969	cat
horse	cat	0.8958	cat	0.0861	dog	0.0141	frog
deer	deer	0.9996	deer	0.0002	ship	0.0001	cat
dog	cat	0.6585	cat	0.2643	dog	0.0378	plane
truck	deer	0.5876	deer	0.2738	ship	0.1190	cat
ship	plane	0.2866	plane	0.2166	ship	0.1747	bird
plane	plane	0.4315	plane	0.3819	bird	0.0778	cat
horse	horse	0.9931	horse	0.0048	dog	0.0008	deer
truck	truck	0.8705	truck	0.0427	ship	0.0266	plane
ship	cat	0.6683	cat	0.0950	ship	0.0857	deer
bird	bird	0.9828	bird	0.0088	deer	0.0037	cat
horse	deer	0.9703	deer	0.0120	dog	0.0106	horse
frog	cat	0.4604	cat	0.1683	deer	0.1539	frog
truck	truck	0.9657	truck	0.0283	ship	0.0042	car
deer	deer	0.9539	deer	0.0381	cat	0.0041	dog
cat	cat	0.6822	cat	0.2335	dog	0.0646	deer
truck	frog	0.5712	frog	0.0861	cat	0.0849	truck
frog	dog	0.4034	dog	0.3047	deer	0.2206	cat
deer	deer	0.9757	deer	0.0140	bird	0.0054	cat
horse	deer	0.6965	deer	0.1099	cat	0.0936	plane
frog	bird	0.5671	bird	0.3105	cat	0.0673	frog
dog	dog	0.9974	dog	0.0022	cat	0.0002	bird
car	ship	0.5760	ship	0.3331	truck	0.0777	car
dog	dog	0.6463	dog	0.2023	cat	0.1403	bird
ship	deer	0.5673	deer	0.2524	bird	0.0830	ship
ship	ship	0.7438	ship	0.1135	deer	0.0650	cat
plane	plane	0.8142	plane	0.1568	ship	0.0174	deer
deer	deer	0.8364	deer	0.0639	cat	0.0622	ship
plane	ship	0.3674	ship	0.2950	deer	0.2826	cat
dog	dog	0.9273	dog	0.0528	deer	0.0183	cat
dog	cat	0.9517	cat	0.0381	dog	0.0082	bird
car	bird	0.8807	bird	0.0660	plane	0.0371	cat
car	car	0.5961	car	0.1675	truck	0.1391	cat
ship	deer	0.5309	deer	0.1752	plane	0.1273	cat
truck	cat	0.8944	cat	0.0659	dog	0.0169	ship
plane	deer	0.8490	deer	0.1148	plane	0.0176	cat
cat	bird	0.4198	bird	0.2615	frog	0.2450	cat
car	cat	0.6477	cat	0.1511	dog	0.0832	deer
truck	ship	0.8729	ship	0.0782	cat	0.0297	deer
bird	deer	0.6080	deer	0.3474	bird	0.0198	cat
bird	bird	0.9957	bird	0.0041	plane	0.0001	frog
dog	cat	0.6887	cat	0.1665	deer	0.0824	dog
cat	dog	0.6016	dog	0.3386	cat	0.0268	deer
truck	truck	0.8803	truck	0.0502	cat	0.0356	ship
truck	ship	0.9233	ship	0.0349	plane	0.0147	truck
deer	cat	0.4890	cat	0.2109	deer	0.0722	plane
plane	ship	0.7540	ship	0.1230	plane	0.0611	cat
cat	cat	0.9356	cat	0.0348	frog	0.0237	bird
plane	plane	0.9145	plane	0.0656	ship	0.0133	bird
plane	ship	0.3614	ship	0.3489	deer	0.2483	plane
truck	deer	0.6155	deer	0.2745	ship	0.0436	cat
ship	ship	0.9196	ship	0.0737	frog	0.0039	cat
car	frog	0.3592	frog	0.2043	bird	0.1735	deer
dog	deer	0.7154	deer	0.2656	cat	0.0102	plane
horse	cat	0.8050	cat	0.0993	plane	0.0378	deer
plane	plane	0.8767	plane	0.0437	ship	0.0357	bird
ship	ship	0.9188	ship	0.0430	plane	0.0264	cat
bird	dog	0.4166	dog	0.2699	bird	0.2340	cat
deer	deer	0.9967	deer	0.0026	cat	0.0002	bird
horse	deer	0.5765	deer	0.2619	cat	0.0973	dog
plane	cat	0.5231	cat	0.2452	deer	0.0801	frog
bird	bird	0.3747	bird	0.2483	dog	0.1680	horse
cat	cat	0.5908	cat	0.3096	deer	0.0391	plane
frog	frog	0.9860	frog	0.0103	cat	0.0015	bird
cat	cat	0.8573	cat	0.1332	dog	0.0030	horse
ship	ship	0.9507	ship	0.0356	deer	0.0060	plane
dog	cat	0.6472	cat	0.1041	deer	0.0980	horse
plane	plane	0.9270	plane	0.0680	ship	0.0033	deer
cat	dog	0.6120	dog	0.3290	cat	0.0392	horse
deer	deer	0.9646	deer	0.0318	cat	0.0031	dog
cat	cat	0.9322	cat	0.0412	frog	0.0152	dog
truck	truck	0.5783	truck	0.3574	plane	0.0534	ship
plane	plane	0.8413	plane	0.0505	ship	0.0457	bird
frog	cat	0.3555	cat	0.2937	deer	0.1304	frog
car	plane	0.6919	plane	0.1694	car	0.0994	ship
plane	deer	0.9289	deer	0.0372	ship	0.0189	bird
truck	deer	0.3102	deer	0.3061	truck	0.2109	cat
car	cat	0.7848	cat	0.0627	frog	0.0482	deer
plane	ship	0.3567	ship	0.2068	plane	0.1867	cat
horse	horse	0.9997	horse	0.0003	deer	0.0000	dog
truck	deer	0.8761	deer	0.1134	ship	0.0035	truck
car	car	0.8919	car	0.0834	frog	0.0088	cat
bird	bird	0.6104	bird	0.1713	plane	0.1557	deer
frog	frog	0.9697	frog	0.0186	deer	0.0062	bird
truck	deer	0.9698	deer	0.0217	ship	0.0023	truck
cat	cat	0.9872	cat	0.0063	deer	0.0031	bird
deer	deer	0.9629	deer	0.0164	bird	0.0109	ship
frog	frog	0.9999	frog	0.0000	truck	0.0000	cat
plane	plane	0.9929	plane	0.0052	ship	0.0005	cat
plane	bird	0.4579	bird	0.3801	deer	0.1488	plane
frog	frog	0.9980	frog	0.0008	ship	0.0008	cat
frog	frog	0.9874	frog	0.0034	deer	0.0030	ship
frog	frog	0.7011	frog	0.1039	cat	0.0903	deer
cat	cat	0.5314	cat	0.2417	deer	0.0807	bird
bird	bird	0.7483	bird	0.2434	cat	0.0067	dog
frog	frog	0.5675	frog	0.1641	cat	0.0896	plane
car	ship	0.9151	ship	0.0407	plane	0.0152	car
ship	ship	0.8576	ship	0.0713	cat	0.0341	deer
bird	deer	0.4503	deer	0.3157	cat	0.1439	ship
car	deer	0.3027	deer	0.2990	car	0.1759	bird
frog	plane	0.4540	plane	0.3103	cat	0.1410	ship
ship	ship	0.9129	ship	0.0307	plane	0.0281	deer
frog	frog	0.9929	frog	0.0070	bird	0.0000	plane
ship	ship	0.7547	ship	0.1087	deer	0.0766	plane
plane	plane	0.5380	plane	0.3114	bird	0.0613	deer
deer	deer	0.9257	deer	0.0686	cat	0.0020	dog
plane	plane	0.9315	plane	0.0304	deer	0.0160	cat
horse	cat	0.6890	cat	0.1918	deer	0.0716	dog
horse	deer	0.9952	deer	0.0027	cat	0.0008	ship
dog	dog	0.8455	dog	0.1426	cat	0.0053	frog
dog	deer	0.3407	deer	0.2415	cat	0.2155	dog
cat	cat	0.6768	cat	0.2290	deer	0.0560	frog
dog	cat	0.9603	cat	0.0159	dog	0.0141	deer
bird	bird	0.9999	bird	0.0000	frog	0.0000	cat
cat	bird	0.4687	bird	0.1993	frog	0.0837	horse
deer	deer	0.9988	deer	0.0008	bird	0.0003	horse
car	cat	0.7373	cat	0.2329	bird	0.0200	dog
horse	deer	0.9440	deer	0.0490	horse	0.0029	cat
dog	deer	0.5948	deer	0.2698	dog	0.1246	cat
deer	deer	0.9908	deer	0.0059	cat	0.0016	bird
frog	frog	0.9506	frog	0.0430	cat	0.0037	ship
car	car	0.7881	car	0.1184	cat	0.0347	truck
truck	truck	0.4261	truck	0.2638	ship	0.2048	bird
cat	cat	0.9212	cat	0.0460	plane	0.0103	ship
frog	cat	0.7979	cat	0.1167	deer	0.0483	dog
frog	deer	0.3272	deer	0.3255	frog	0.2753	cat
truck	deer	0.7759	deer	0.1195	ship	0.0528	cat
cat	cat	0.8848	cat	0.0452	deer	0.0429	frog
ship	ship	0.8087	ship	0.0599	cat	0.0579	deer
plane	frog	0.8743	frog	0.1050	plane	0.0159	bird
horse	horse	0.4962	horse	0.4638	deer	0.0340	dog
bird	bird	0.9941	bird	0.0041	cat	0.0008	frog
frog	frog	0.5052	frog	0.1986	cat	0.1911	bird
bird	plane	0.3819	plane	0.2452	bird	0.1386	cat
dog	cat	0.8882	cat	0.0412	deer	0.0336	dog
ship	bird	0.5161	bird	0.1750	deer	0.1618	plane
dog	cat	0.5514	cat	0.2171	dog	0.1696	deer
deer	cat	0.5382	cat	0.2177	dog	0.1464	deer
frog	frog	0.9927	frog	0.0035	ship	0.0030	deer
ship	cat	0.9311	cat	0.0275	plane	0.0211	ship
truck	deer	0.8251	deer	0.1211	ship	0.0322	cat
truck	cat	0.5540	cat	0.1681	deer	0.1392	truck
car	cat	0.5517	cat	0.2822	plane	0.0767	deer
plane	plane	0.4798	plane	0.2464	ship	0.2360	deer
bird	bird	1.0000	bird	0.0000	frog	0.0000	plane
bird	deer	0.3387	deer	0.1961	plane	0.1852	cat
horse	deer	0.9680	deer	0.0282	bird	0.0033	cat
cat	deer	0.5384	deer	0.1299	plane	0.0996	cat
bird	cat	0.5720	cat	0.2479	plane	0.0836	bird
ship	ship	0.8013	ship	0.0831	frog	0.0539	deer
plane	plane	0.9995	plane	0.0002	bird	0.0001	ship
truck	ship	0.5369	ship	0.3001	cat	0.0656	deer
dog	dog	0.9649	dog	0.0219	horse	0.0084	cat
ship	ship	0.9693	ship	0.0178	deer	0.0076	cat
car	deer	0.7843	deer	0.1403	cat	0.0471	frog
truck	ship	0.8999	ship	0.0357	truck	0.0333	plane
deer	deer	0.9978	deer	0.0020	cat	0.0001	ship
car	ship	0.8050	ship	0.1241	deer	0.0350	cat
cat	cat	0.7129	cat	0.2049	bird	0.0771	deer
ship	ship	0.5369	ship	0.3980	deer	0.0305	cat
car	frog	0.4620	frog	0.4090	car	0.0669	cat
deer	cat	0.6763	cat	0.2070	deer	0.0463	ship
horse	horse	0.9929	horse	0.0055	bird	0.0009	deer
truck	truck	0.7801	truck	0.2173	ship	0.0016	plane
deer	ship	0.4760	ship	0.3917	cat	0.0963	deer
bird	bird	0.4707	bird	0.3449	deer	0.1441	cat
horse	deer	0.8927	deer	0.0824	horse	0.0115	cat
plane	deer	0.8233	deer	0.1267	ship	0.0168	plane
horse	deer	0.9966	deer	0.0018	horse	0.0009	cat
plane	ship	0.6025	ship	0.1634	bird	0.1411	cat
frog	frog	0.9959	frog	0.0019	cat	0.0018	deer
frog	frog	0.7942	frog	0.1559	bird	0.0226	plane
truck	cat	0.6170	cat	0.2152	deer	0.0884	plane
plane	plane	0.9957	plane	0.0027	bird	0.0005	cat
truck	ship	0.6803	ship	0.1753	plane	0.0573	deer
bird	deer	0.5276	deer	0.1621	cat	0.1205	bird
ship	ship	0.6521	ship	0.3321	plane	0.0075	bird
horse	cat	0.3943	cat	0.3641	horse	0.1662	dog
bird	bird	0.7886	bird	0.1561	horse	0.0175	deer
bird	cat	0.8689	cat	0.1036	dog	0.0140	bird
dog	dog	0.5799	dog	0.1572	cat	0.1487	horse
car	cat	0.5890	cat	0.2481	frog	0.0703	ship
bird	bird	0.9577	bird	0.0393	plane	0.0015	ship
frog	bird	0.5015	bird	0.2698	plane	0.0832	frog
bird	frog	0.6902	frog	0.3066	bird	0.0008	cat
truck	cat	0.9334	cat	0.0155	bird	0.0154	dog
frog	cat	0.6737	cat	0.1726	deer	0.0543	dog
bird	bird	0.9827	bird	0.0109	dog	0.0040	cat
cat	cat	0.6646	cat	0.1216	frog	0.1078	bird
plane	plane	0.4325	plane	0.3953	ship	0.1074	cat
cat	frog	0.7341	frog	0.2435	cat	0.0143	ship
truck	ship	0.4397	ship	0.1386	horse	0.1212	truck
ship	plane	0.4151	plane	0.2831	bird	0.1857	cat
horse	deer	0.9437	deer	0.0200	cat	0.0166	dog
ship	ship	0.8841	ship	0.0363	plane	0.0351	deer
ship	ship	0.6467	ship	0.1593	cat	0.1203	deer
deer	cat	0.5165	cat	0.4015	deer	0.0344	frog
plane	plane	0.9552	plane	0.0300	frog	0.0075	bird
car	plane	0.7195	plane	0.2300	ship	0.0165	deer
ship	cat	0.6014	cat	0.2161	ship	0.1136	plane
bird	bird	0.7779	bird	0.1178	cat	0.0520	deer
horse	horse	0.7866	horse	0.0949	deer	0.0632	dog
truck	ship	0.9998	ship	0.0001	plane	0.0000	truck
cat	cat	0.5602	cat	0.1528	bird	0.1255	deer
frog	frog	0.9184	frog	0.0740	ship	0.0034	plane
car	frog	0.4253	frog	0.4223	deer	0.1158	ship
truck	truck	0.6598	truck	0.1724	deer	0.1311	ship
plane	cat	0.6817	cat	0.1899	dog	0.0774	plane
horse	horse	0.7617	horse	0.1098	bird	0.0840	dog
cat	cat	0.6742	cat	0.1599	dog	0.1415	deer
horse	deer	0.8909	deer	0.0614	plane	0.0219	cat
deer	deer	0.3199	deer	0.2792	cat	0.1533	bird
dog	dog	0.4148	dog	0.2034	cat	0.1965	bird
plane	ship	0.7595	ship	0.1640	plane	0.0335	deer
plane	plane	0.8758	plane	0.0921	deer	0.0229	bird
bird	bird	0.9564	bird	0.0183	cat	0.0098	deer
truck	deer	0.3571	deer	0.2644	bird	0.1872	plane
cat	deer	0.6692	deer	0.1734	cat	0.0861	frog
deer	deer	0.9442	deer	0.0202	bird	0.0183	cat
plane	bird	0.4192	bird	0.3074	frog	0.1778	plane
frog	frog	0.4889	frog	0.2599	bird	0.2212	cat
bird	deer	0.4936	deer	0.4303	cat	0.0283	frog
dog	deer	0.5705	deer	0.2575	plane	0.0915	cat
cat	cat	0.9030	cat	0.0659	frog	0.0163	bird
horse	deer	0.5860	deer	0.2418	bird	0.1539	horse
cat	cat	0.4540	cat	0.3908	deer	0.0568	ship
horse	horse	0.3718	horse	0.2028	bird	0.1618	dog
bird	bird	0.4090	bird	0.3297	frog	0.1370	deer
dog	cat	0.8195	cat	0.0836	dog	0.0568	frog
cat	cat	0.9992	cat	0.0007	deer	0.0001	dog
car	ship	0.6668	ship	0.2100	deer	0.0625	cat
car	car	0.4724	car	0.1496	ship	0.1318	plane
deer	deer	0.5492	deer	0.3429	cat	0.0586	plane
truck	deer	0.2805	deer	0.2717	cat	0.2179	truck
truck	deer	0.7077	deer	0.1951	cat	0.0415	ship
dog	dog	0.9308	dog	0.0651	cat	0.0023	frog
horse	bird	0.6358	bird	0.2265	horse	0.1066	deer
dog	cat	0.7869	cat	0.0647	plane	0.0632	ship
plane	plane	0.9649	plane	0.0227	ship	0.0057	cat
bird	cat	0.7151	cat	0.2282	deer	0.0279	bird
bird	plane	0.8254	plane	0.0983	deer	0.0366	frog
bird	deer	0.5792	deer	0.2551	cat	0.0773	bird
truck	ship	0.7720	ship	0.0766	deer	0.0495	cat
horse	horse	0.9616	horse	0.0265	dog	0.0064	deer
cat	deer	0.8572	deer	0.0628	cat	0.0220	ship
truck	ship	0.7153	ship	0.1344	plane	0.0610	deer
deer	deer	0.8656	deer	0.0743	ship	0.0351	plane
cat	deer	0.9922	deer	0.0043	cat	0.0014	frog
dog	dog	0.4512	dog	0.2503	deer	0.2144	cat
deer	cat	0.3778	cat	0.2170	plane	0.2145	deer
frog	cat	0.3335	cat	0.2295	plane	0.2188	frog
dog	dog	0.9691	dog	0.0243	bird	0.0039	deer
frog	cat	0.7288	cat	0.1250	frog	0.0659	deer
car	frog	0.3966	frog	0.3592	cat	0.1227	plane
deer	deer	0.9247	deer	0.0530	horse	0.0101	bird
cat	deer	0.7325	deer	0.1788	cat	0.0323	bird
