Actual,Predicted,Top1_Prob,Top1_Class,Top2_Prob,Top2_Class,Top3_Prob,Top3_Class,Num_Layers_Used,Top_Prob_Layer1,Top_Prob_Layer2,Top_Prob_Layer3
deer,deer,55.014027,deer,24.446293,cat,15.287735,frog,1,55.014026165008545,,
dog,dog,99.049774,dog,0.8837455,cat,0.054039154,horse,1,99.04977679252625,,
truck,ship,88.75567,ship,9.675674,truck,1.0847361,cat,1,88.75566720962524,,
bird,ship,85.35406,ship,10.868173,frog,3.3374746,cat,1,85.35405993461609,,
deer,deer,99.1931,deer,0.7516391,cat,0.031039212,dog,1,99.19310212135315,,
car,car,61.405025,car,35.994644,truck,1.5179062,cat,1,61.40502691268921,,
truck,truck,74.954346,truck,23.469364,ship,0.900082,cat,1,74.95434880256653,,
dog,dog,99.96537,dog,0.034098376,cat,0.00021910014,deer,1,99.9653697013855,,
deer,deer,91.926605,deer,7.8720784,cat,0.09652866,bird,1,91.92660450935364,,
frog,cat,95.49352,cat,2.5493383,frog,1.2716304,dog,1,95.49351930618286,,
dog,horse,64.34837,horse,28.135181,cat,3.8643107,dog,1,64.34837579727173,,
frog,frog,98.265945,frog,1.48156,cat,0.15818384,ship,1,98.26594591140747,,
plane,plane,97.417564,plane,1.2690121,cat,0.62710446,bird,1,97.41756319999695,,
truck,truck,61.06077,truck,12.938948,cat,5.260303,plane,1,61.060768365859985,,
cat,cat,81.22128,cat,14.540811,frog,3.3849075,dog,1,81.22128248214722,,
truck,cat,77.39686,cat,12.1061735,ship,5.339402,deer,1,77.39685773849487,,
horse,deer,99.96397,deer,0.023973703,horse,0.00439598,bird,1,99.9639630317688,,
frog,deer,60.524414,deer,17.01974,frog,16.48282,cat,1,60.52441596984863,,
truck,frog,80.38623,frog,10.640432,truck,6.548296,ship,1,80.38622736930847,,
ship,ship,99.37442,ship,0.2674042,cat,0.2548775,deer,1,99.37441945075989,,
plane,plane,84.62917,plane,10.956216,bird,2.0147963,frog,1,84.6291720867157,,
cat,cat,98.308685,cat,1.3066175,dog,0.35544312,deer,1,98.30868244171143,,
ship,ship,96.22997,ship,2.2762642,cat,0.60184324,plane,1,96.22997045516968,,
ship,ship,93.135925,ship,5.6729493,cat,0.6189616,bird,1,93.13592314720154,,
horse,horse,48.97493,horse,22.782616,dog,15.668909,cat,1,48.97492825984955,,
horse,cat,99.16031,cat,0.8141852,dog,0.008155746,horse,1,99.16030764579773,,
deer,dog,86.86396,dog,11.055067,cat,2.023749,horse,1,86.8639588356018,,
frog,cat,93.71362,cat,4.6476564,dog,1.2882869,frog,1,93.71362328529358,,
horse,horse,56.63585,horse,36.68703,dog,5.5234056,deer,1,56.63585066795349,,
cat,cat,94.26287,cat,5.667926,dog,0.03093178,bird,1,94.26286816596985,,
frog,frog,70.268524,frog,26.321184,cat,2.6188302,bird,1,70.26852369308472,,
cat,cat,99.67013,cat,0.13473542,plane,0.1139667,dog,1,99.67013001441956,,
frog,frog,62.80048,frog,36.949562,cat,0.089176305,deer,1,62.8004789352417,,
bird,cat,91.825584,cat,7.417178,bird,0.32008857,frog,1,91.8255865573883,,
car,ship,81.85481,ship,10.244017,deer,7.8132706,cat,1,81.85481429100037,,
bird,bird,99.12742,bird,0.41713783,deer,0.29346725,cat,1,99.12741780281067,,
cat,deer,47.73447,deer,46.55459,cat,3.159305,dog,1,47.734472155570984,,
horse,deer,99.864456,deer,0.079459086,horse,0.035028566,cat,1,99.86445307731628,,
bird,cat,50.02342,cat,16.718573,ship,12.247666,dog,1,50.02341866493225,,
frog,frog,95.20876,frog,3.306296,dog,1.1614635,cat,1,95.20876407623291,,
ship,ship,99.94132,ship,0.016940495,cat,0.016259078,bird,1,99.9413251876831,,
ship,ship,79.14016,ship,18.790071,cat,0.94785446,deer,1,79.14015650749207,,
plane,ship,59.993923,ship,37.341454,cat,1.1094712,plane,1,59.9939227104187,,
bird,bird,78.63209,bird,14.80523,deer,2.249768,dog,1,78.63208651542664,,
truck,ship,58.604443,ship,19.64162,truck,11.934384,horse,1,58.604443073272705,,
cat,cat,99.90424,cat,0.044971853,dog,0.020400569,frog,1,99.90424513816833,,
cat,dog,55.200005,dog,31.019962,deer,11.64549,cat,1,55.20000457763672,,
ship,ship,99.56332,ship,0.21491724,deer,0.073878966,cat,1,99.56331849098206,,
ship,ship,99.21982,ship,0.5050269,cat,0.06894389,frog,1,99.21981692314148,,
car,cat,99.758484,cat,0.22770008,dog,0.009708812,deer,1,99.75848197937012,,
car,ship,61.602646,ship,34.29662,cat,2.2868536,frog,1,61.60264611244202,,
horse,horse,91.882515,horse,4.1127234,deer,2.3846214,dog,1,91.88251495361328,,
bird,plane,44.07474,plane,38.039078,bird,9.341213,dog,1,44.07474100589752,,
dog,dog,75.64345,dog,10.605464,cat,7.859878,deer,1,75.6434440612793,,
bird,cat,83.26903,cat,15.44132,dog,0.84980613,deer,1,83.26902389526367,,
horse,cat,83.10488,cat,9.360407,dog,2.6989303,ship,1,83.10487866401672,,
ship,ship,98.932625,ship,0.5993806,bird,0.18315552,deer,1,98.93262386322021,,
truck,truck,66.65721,truck,32.815304,ship,0.30090606,plane,1,66.6572093963623,,
plane,plane,54.60488,plane,35.3856,deer,6.4351215,ship,1,54.60488200187683,,
cat,cat,99.29831,cat,0.37161016,dog,0.30419287,frog,1,99.29831027984619,,
ship,ship,99.51343,ship,0.2902866,deer,0.10103587,cat,1,99.51342940330505,,
frog,frog,99.760506,frog,0.12659186,cat,0.11008397,bird,1,99.76050853729248,,
deer,dog,58.754128,dog,30.897388,deer,6.2713375,cat,1,58.754128217697144,,
frog,frog,93.04903,frog,6.2657604,cat,0.5593288,dog,1,93.0490255355835,,
frog,cat,94.41426,cat,2.288132,frog,1.52037,bird,1,94.41426396369934,,
plane,cat,47.769054,cat,22.001154,dog,14.700553,ship,1,47.769054770469666,,
plane,plane,99.9542,plane,0.041121405,bird,0.0035400237,cat,1,99.95419979095459,,
horse,dog,60.79896,dog,34.095776,cat,3.48072,horse,1,60.79896092414856,,
deer,deer,97.8155,deer,1.7385795,cat,0.13375193,bird,1,97.81549572944641,,
dog,deer,86.06121,deer,8.906192,cat,4.215036,dog,1,86.06120944023132,,
frog,cat,93.6237,cat,5.0311646,frog,1.2603445,dog,1,93.62370371818542,,
cat,cat,99.96296,cat,0.015642019,frog,0.008293473,bird,1,99.96296167373657,,
car,car,99.975136,car,0.01869722,ship,0.0024211546,cat,1,99.97513890266418,,
car,car,94.178154,car,2.8025842,plane,2.0457087,cat,1,94.17815208435059,,
cat,cat,97.52203,cat,1.08069,frog,0.91473955,bird,1,97.52203226089478,,
frog,cat,66.16431,cat,31.56271,frog,1.2406203,bird,1,66.16430282592773,,
ship,ship,74.90037,ship,14.456598,plane,4.669074,bird,1,74.90036487579346,,
horse,horse,98.547455,horse,1.1622972,cat,0.28293428,dog,1,98.54745864868164,,
deer,deer,99.96259,deer,0.021080762,horse,0.011284418,dog,1,99.96259212493896,,
plane,plane,96.401566,plane,1.8012697,cat,1.2842367,bird,1,96.40156626701355,,
frog,frog,69.717705,frog,25.312042,bird,3.598204,cat,1,69.71770524978638,,
bird,bird,70.69118,bird,13.198231,cat,10.276842,frog,1,70.69117426872253,,
car,cat,45.985714,cat,14.634182,ship,13.962114,dog,1,45.985713601112366,,
cat,cat,99.843544,cat,0.15422624,dog,0.0009931688,horse,1,99.84354376792908,,
plane,deer,70.20811,deer,13.317325,cat,6.517645,ship,1,70.20810842514038,,
deer,deer,99.79928,deer,0.17324106,cat,0.0063239415,dog,1,99.7992753982544,,
bird,bird,38.023617,bird,35.284634,cat,25.748295,frog,1,38.02361786365509,,
horse,cat,40.002388,cat,27.46202,deer,13.903213,horse,1,40.0023877620697,,
ship,ship,97.2232,ship,1.1313146,cat,1.0228586,deer,1,97.22319841384888,,
cat,cat,95.620766,cat,2.063737,dog,0.9444642,plane,1,95.62076330184937,,
car,car,83.8583,car,8.598271,cat,4.2240663,frog,1,83.8582992553711,,
bird,bird,80.32365,bird,9.494114,deer,4.840867,plane,1,80.32364845275879,,
ship,cat,48.12654,cat,48.05135,ship,1.9536406,dog,1,48.12653958797455,,
plane,bird,76.45384,bird,15.575126,plane,2.2686038,dog,1,76.45384073257446,,
ship,cat,64.24065,cat,32.553135,ship,1.3391179,dog,1,64.24064636230469,,
cat,cat,96.74587,cat,1.525487,ship,0.7617987,dog,1,96.7458724975586,,
dog,frog,60.309322,frog,38.630833,cat,1.0037688,dog,1,60.30932068824768,,
bird,bird,98.39656,bird,1.2378882,cat,0.33294952,plane,1,98.39656352996826,,
deer,deer,99.88104,deer,0.091065556,bird,0.01809588,frog,1,99.88104104995728,,
car,car,98.50562,car,1.1060307,cat,0.24765621,bird,1,98.5056221485138,,
ship,ship,96.52872,ship,1.9401584,cat,1.2722533,deer,1,96.52871489524841,,
truck,truck,98.07551,truck,1.52647,car,0.2992683,cat,1,98.0755090713501,,
car,frog,92.75987,frog,6.762233,cat,0.25858214,dog,1,92.75987148284912,,
bird,cat,73.21635,cat,23.764372,dog,2.4134803,bird,1,73.21634888648987,,
truck,cat,89.66973,cat,5.8286138,ship,2.7992964,truck,1,89.66973423957825,,
horse,horse,85.74142,horse,8.59501,dog,4.0456815,deer,1,85.7414186000824,,
bird,cat,74.45789,cat,10.8694935,deer,10.716521,bird,1,74.45789575576782,,
truck,cat,70.94499,cat,17.81673,ship,3.9552336,dog,1,70.94498872756958,,
frog,cat,97.11873,cat,2.7150404,frog,0.07916616,dog,1,97.11872935295105,,
dog,dog,83.60863,dog,14.919262,cat,0.7689455,deer,1,83.60862731933594,,
frog,frog,80.31157,frog,18.899227,cat,0.25392947,dog,1,80.31156659126282,,
cat,deer,99.8558,deer,0.083610505,cat,0.029071959,bird,1,99.8557984828949,,
ship,ship,73.58029,ship,22.837934,cat,1.6185857,bird,1,73.5802948474884,,
horse,horse,80.74796,horse,13.545476,dog,3.3992584,deer,1,80.74796199798584,,
frog,frog,99.90897,frog,0.082637094,cat,0.0036387795,dog,1,99.90897178649902,,
bird,cat,89.62119,cat,10.312861,dog,0.05949097,bird,1,89.62119221687317,,
dog,cat,85.88933,cat,13.728899,dog,0.24761236,deer,1,85.88932752609253,,
bird,bird,57.56501,bird,36.895874,cat,3.2095215,dog,1,57.56500959396362,,
ship,ship,94.63548,ship,3.9398265,cat,0.9809196,plane,1,94.6354866027832,,
truck,frog,77.30463,frog,12.379284,cat,7.352571,ship,1,77.30462551116943,,
frog,cat,50.32589,cat,35.353817,frog,8.540067,deer,1,50.32588839530945,,
plane,plane,87.23616,plane,5.724021,ship,4.5248284,deer,1,87.23616003990173,,
plane,cat,64.99592,cat,11.385915,dog,8.481559,bird,1,64.99592065811157,,
dog,cat,69.9435,cat,29.787195,dog,0.15602246,bird,1,69.94349360466003,,
bird,cat,89.17288,cat,4.1839576,dog,2.1647906,bird,1,89.17288184165955,,
truck,cat,45.670437,cat,41.62459,truck,8.513115,ship,1,45.670437812805176,,
dog,cat,87.34179,cat,7.111935,dog,2.0399015,bird,1,87.34179139137268,,
deer,deer,99.65412,deer,0.20686251,bird,0.084140114,cat,1,99.65412020683289,,
bird,plane,60.30057,plane,21.703457,bird,15.694253,cat,1,60.30057072639465,,
car,plane,78.95424,plane,15.780354,bird,4.2550807,cat,1,78.95423769950867,,
frog,bird,85.08463,bird,12.255068,cat,1.5400755,frog,1,85.08463501930237,,
frog,deer,40.33295,deer,31.434664,frog,20.358032,cat,1,40.33294916152954,,
ship,ship,43.910126,ship,26.382345,bird,20.55808,cat,1,43.91012489795685,,
deer,deer,99.13681,deer,0.8503194,bird,0.01095736,cat,1,99.13681149482727,,
ship,ship,81.7964,ship,9.973001,cat,4.4078593,bird,1,81.79640173912048,,
deer,deer,99.08421,deer,0.64254403,cat,0.2093367,frog,1,99.08421039581299,,
dog,dog,52.094276,dog,26.954885,cat,16.97715,deer,1,52.0942747592926,,
plane,ship,96.35642,ship,2.302693,cat,0.4543618,deer,1,96.35642170906067,,
truck,truck,99.49504,truck,0.35377008,car,0.056808434,cat,1,99.49504137039185,,
truck,plane,83.49123,plane,8.792787,truck,2.5115993,ship,1,83.49122405052185,,
truck,ship,48.90827,ship,25.085,cat,7.995771,deer,1,48.90827238559723,,
ship,ship,82.18337,ship,8.122953,frog,5.7400713,cat,1,82.18337297439575,,
truck,truck,77.24093,truck,11.170654,ship,9.268558,car,1,77.24092602729797,,
truck,ship,61.47945,ship,26.2718,frog,5.1475444,cat,1,61.47944927215576,,
cat,cat,98.50069,cat,1.04669,dog,0.27382535,ship,1,98.50068688392639,,
horse,dog,53.53138,dog,33.29406,horse,6.6732726,cat,1,53.531378507614136,,
dog,cat,84.24863,cat,13.749199,dog,1.0593116,frog,1,84.24862623214722,,
plane,plane,78.36894,plane,17.748442,ship,1.2694086,truck,1,78.36894392967224,,
plane,plane,98.24968,plane,1.3583007,cat,0.22069074,ship,1,98.24967980384827,,
dog,dog,99.27147,dog,0.34930974,cat,0.2942868,deer,1,99.27147030830383,,
bird,bird,95.56789,bird,3.5241156,horse,0.4220022,plane,1,95.56788802146912,,
bird,cat,97.19393,cat,0.9100876,deer,0.8313242,frog,1,97.19393253326416,,
cat,cat,99.48386,cat,0.4948179,dog,0.012989031,frog,1,99.4838535785675,,
ship,ship,98.85403,ship,0.463894,deer,0.26375994,plane,1,98.85402321815491,,
frog,frog,97.82824,frog,0.97454506,cat,0.6792533,bird,1,97.82823920249939,,
cat,cat,99.58651,cat,0.34524888,dog,0.03642328,frog,1,99.58651065826416,,
deer,cat,97.77574,cat,0.99063665,bird,0.58602446,dog,1,97.77573943138123,,
plane,plane,81.15458,plane,7.003089,bird,5.644695,deer,1,81.15457892417908,,
dog,dog,51.834404,dog,42.50382,cat,2.7723465,frog,1,51.83440446853638,,
ship,cat,91.019356,cat,7.7610717,ship,0.7276744,deer,1,91.01935625076294,,
plane,plane,97.56629,plane,1.212974,bird,1.0374631,ship,1,97.5662887096405,,
car,frog,37.145493,frog,17.342585,car,15.186795,truck,1,37.14549243450165,,
horse,horse,58.472137,horse,31.004248,cat,7.638848,dog,1,58.47213864326477,,
bird,bird,79.81199,bird,16.041637,deer,2.2953892,cat,1,79.81199026107788,,
ship,ship,84.99132,ship,12.952648,cat,1.3450483,frog,1,84.99131798744202,,
ship,dog,31.485096,dog,26.120377,ship,23.566494,cat,1,31.485095620155334,,
horse,horse,99.96967,horse,0.009222345,cat,0.008485092,bird,1,99.96967315673828,,
ship,cat,97.576645,cat,0.88617504,ship,0.8847859,frog,1,97.57664799690247,,
dog,cat,88.93114,cat,11.060308,dog,0.0071468595,deer,1,88.93113732337952,,
car,car,37.219414,car,23.4392,ship,12.025944,cat,1,37.21941411495209,,
ship,ship,99.51857,ship,0.34206504,cat,0.08207694,frog,1,99.51856732368469,,
horse,deer,81.5915,deer,16.000866,horse,1.5088502,dog,1,81.59149885177612,,
car,frog,46.700413,frog,43.15844,cat,5.507303,deer,1,46.7004120349884,,
cat,cat,96.05468,cat,1.973567,deer,1.3637835,dog,1,96.05467915534973,,
plane,cat,54.0757,cat,39.610157,plane,2.7684274,ship,1,54.07570004463196,,
dog,dog,99.65794,dog,0.24290676,cat,0.076220766,deer,1,99.65794682502747,,
horse,horse,99.99423,horse,0.0042421287,dog,0.0011499416,deer,1,99.99423027038574,,
truck,ship,41.993225,ship,34.187584,truck,19.676199,cat,1,41.99322462081909,,
horse,cat,96.23676,cat,3.5576277,dog,0.10818079,frog,1,96.2367594242096,,
deer,deer,99.65042,deer,0.27259564,ship,0.056861103,cat,1,99.65041875839233,,
dog,cat,71.95232,cat,27.889057,dog,0.07333461,frog,1,71.95231318473816,,
truck,ship,96.08551,ship,2.1483958,deer,1.6076446,cat,1,96.08550667762756,,
ship,bird,52.119846,bird,24.327728,cat,6.566661,ship,1,52.119845151901245,,
plane,cat,55.674107,cat,18.344719,deer,12.200575,plane,1,55.67410588264465,,
horse,horse,99.971466,horse,0.016459322,dog,0.006121416,plane,1,99.97146725654602,,
truck,truck,93.06681,truck,3.4991205,cat,1.826909,frog,1,93.06681156158447,,
ship,cat,97.24182,cat,1.3639095,frog,0.38963836,dog,1,97.24182486534119,,
bird,bird,97.33428,bird,2.3474245,deer,0.23681413,cat,1,97.33428359031677,,
horse,deer,99.50162,deer,0.4437278,horse,0.03826475,dog,1,99.50161576271057,,
frog,cat,96.41384,cat,1.6112053,dog,1.0098034,frog,1,96.41384482383728,,
truck,truck,97.09911,truck,2.5118747,ship,0.11134251,cat,1,97.09911346435547,,
deer,deer,99.239265,deer,0.61207587,cat,0.0891408,dog,1,99.23926591873169,,
cat,cat,95.35659,cat,4.4397044,dog,0.11038694,deer,1,95.35658955574036,,
truck,frog,75.96609,frog,8.8246975,car,7.1241684,cat,1,75.96608400344849,,
frog,cat,67.052895,cat,28.35579,dog,3.309321,frog,1,67.05289483070374,,
deer,deer,95.94596,deer,3.2245736,cat,0.77716374,bird,1,95.94596028327942,,
horse,cat,33.298214,cat,32.885975,deer,17.033676,frog,1,33.29821228981018,,
frog,frog,63.27154,frog,23.950634,bird,11.319631,cat,1,63.27154040336609,,
dog,dog,99.098175,dog,0.8527148,cat,0.023444738,horse,1,99.09817576408386,,
car,car,96.230354,car,2.674236,ship,0.88440573,truck,1,96.23035788536072,,
dog,cat,94.18978,cat,5.6132445,dog,0.0916806,bird,1,94.18978095054626,,
ship,ship,48.329117,ship,45.411026,cat,4.028639,bird,1,48.32911491394043,,
ship,ship,96.22398,ship,3.0310657,cat,0.27477264,frog,1,96.22398614883423,,
plane,plane,97.10785,plane,1.4414225,ship,1.0090404,cat,1,97.10784554481506,,
deer,deer,99.63563,deer,0.15296295,cat,0.09155866,dog,1,99.63562488555908,,
plane,cat,78.00206,cat,13.460238,ship,3.8187022,dog,1,78.00205945968628,,
dog,dog,91.79807,dog,7.3565536,cat,0.43177265,horse,1,91.79807305335999,,
dog,dog,50.70414,dog,49.09186,cat,0.077238224,deer,1,50.70413947105408,,
car,cat,86.1328,cat,7.329994,bird,3.8448935,frog,1,86.13279461860657,,
car,car,98.40378,car,0.8978326,cat,0.64471287,truck,1,98.40377569198608,,
ship,ship,65.37069,ship,24.623772,cat,4.210333,deer,1,65.37069082260132,,
truck,dog,66.79229,dog,21.993874,cat,4.7415867,deer,1,66.79229140281677,,
plane,deer,43.63392,deer,24.109991,cat,11.319049,ship,1,43.63391995429993,,
cat,cat,98.70061,cat,0.7041054,bird,0.4600726,frog,1,98.70060682296753,,
car,cat,84.72279,cat,11.219588,dog,1.4326494,car,1,84.7227931022644,,
truck,ship,92.132744,ship,6.007361,cat,0.9035026,dog,1,92.13274121284485,,
bird,cat,78.15481,cat,20.38582,deer,0.84141123,bird,1,78.15480828285217,,
bird,bird,97.075485,bird,2.8384254,plane,0.057839543,frog,1,97.0754861831665,,
dog,cat,94.90991,cat,4.0580273,dog,0.83224976,frog,1,94.90991234779358,,
cat,cat,98.60553,cat,1.2784169,dog,0.07447019,deer,1,98.6055314540863,,
truck,truck,71.88291,truck,11.932337,cat,6.8176055,deer,1,71.8829095363617,,
truck,ship,82.909035,ship,10.82747,frog,3.8954167,cat,1,82.90903568267822,,
deer,deer,98.75135,deer,0.44788435,cat,0.28085342,dog,1,98.75134825706482,,
plane,ship,51.738144,ship,39.88777,cat,3.0500958,plane,1,51.73814296722412,,
cat,cat,99.44667,cat,0.29042432,deer,0.16391394,bird,1,99.44667220115662,,
plane,plane,99.85465,plane,0.09347791,ship,0.04755311,bird,1,99.85465407371521,,
plane,deer,48.36064,deer,40.44581,ship,7.7875533,plane,1,48.36064279079437,,
truck,deer,49.52855,deer,21.98597,cat,16.7288,ship,1,49.52855110168457,,
ship,ship,99.95634,ship,0.035223708,cat,0.007675525,frog,1,99.95633959770203,,
car,cat,95.44268,cat,1.8696457,frog,1.3838776,deer,1,95.44268250465393,,
dog,cat,96.76041,cat,2.4994853,deer,0.5928246,dog,1,96.76041007041931,,
horse,cat,87.52955,cat,6.745341,dog,4.248329,frog,1,87.52955198287964,,
plane,plane,65.59196,plane,27.809917,ship,2.288535,cat,1,65.59195518493652,,
ship,ship,85.17662,ship,6.0182242,plane,5.8542447,cat,1,85.17662286758423,,
bird,cat,61.38749,cat,22.89985,dog,12.08623,bird,1,61.38749122619629,,
deer,deer,87.669266,deer,11.486781,cat,0.59668756,frog,1,87.66926527023315,,
horse,deer,52.959858,deer,35.291897,cat,9.872921,dog,1,52.9598593711853,,
plane,cat,54.98817,cat,42.568264,dog,0.7446773,frog,1,54.98816967010498,,
bird,bird,90.79068,bird,5.7272816,dog,2.0559685,horse,1,90.79068303108215,,
cat,cat,98.00222,cat,1.3017391,deer,0.6367166,dog,1,98.00221920013428,,
frog,frog,98.495445,frog,1.4883684,cat,0.01168017,dog,1,98.49544763565063,,
cat,cat,87.17782,cat,10.294893,dog,2.327276,horse,1,87.17781901359558,,
ship,ship,99.30016,ship,0.5740036,deer,0.027681671,truck,1,99.3001639842987,,
dog,cat,78.63816,cat,10.97505,deer,4.42843,bird,1,78.63816022872925,,
plane,plane,99.18773,plane,0.45333257,ship,0.24762961,bird,1,99.18773174285889,,
cat,cat,88.55423,cat,10.446165,dog,0.63056946,deer,1,88.55422735214233,,
deer,deer,99.8228,deer,0.15886612,cat,0.012780064,dog,1,99.82280135154724,,
cat,cat,77.86256,cat,13.797538,frog,4.4086885,dog,1,77.86255478858948,,
truck,truck,99.635956,truck,0.24863975,plane,0.077527836,ship,1,99.63595271110535,,
plane,plane,63.37387,plane,27.519247,deer,4.251881,cat,1,63.37386965751648,,
frog,cat,91.65275,cat,3.4125872,bird,2.2701428,frog,1,91.65274500846863,,
car,car,93.37354,car,4.2894115,plane,1.0314515,ship,1,93.37354302406311,,
plane,deer,50.686256,deer,34.487827,plane,7.384405,ship,1,50.68625807762146,,
truck,truck,66.990364,truck,24.922798,ship,4.1686606,cat,1,66.99036359786987,,
car,cat,96.27286,cat,1.2399296,car,1.0659136,frog,1,96.27285599708557,,
plane,ship,70.23309,ship,18.641087,cat,8.544592,deer,1,70.23309469223022,,
horse,horse,98.420815,horse,0.78010976,dog,0.30629992,bird,1,98.42081665992737,,
truck,deer,88.66759,deer,7.8574023,ship,1.7218192,bird,1,88.66758346557617,,
car,car,59.676926,car,34.265785,cat,5.301955,frog,1,59.67692732810974,,
bird,bird,71.69224,bird,27.167534,deer,0.5309741,cat,1,71.6922402381897,,
frog,frog,99.37681,frog,0.25294352,cat,0.23361747,dog,1,99.37680959701538,,
truck,ship,67.95312,ship,18.667334,deer,6.008304,cat,1,67.95311570167542,,
cat,cat,99.82028,cat,0.08932659,deer,0.077550285,dog,1,99.82028007507324,,
deer,deer,91.540245,deer,8.161006,bird,0.1945934,plane,1,91.54024720191956,,
frog,frog,99.67664,frog,0.31655622,cat,0.004405758,ship,1,99.6766448020935,,
plane,plane,99.384056,plane,0.36422738,ship,0.16249008,bird,1,99.38405752182007,,
plane,deer,83.39361,deer,6.009253,bird,5.549783,plane,1,83.3936095237732,,
frog,frog,99.986206,frog,0.007828154,cat,0.0049919514,deer,1,99.98620748519897,,
frog,frog,99.909904,frog,0.06558975,cat,0.010199417,ship,1,99.90990161895752,,
frog,frog,90.79829,frog,7.6042666,cat,0.79263973,deer,1,90.7982885837555,,
cat,deer,64.55052,deer,21.447514,cat,7.2952075,dog,1,64.55052495002747,,
bird,bird,98.10866,bird,1.8332615,cat,0.05494531,dog,1,98.10865521430969,,
frog,bird,62.560726,bird,16.035791,deer,8.352002,frog,1,62.56072521209717,,
car,plane,79.51634,plane,18.218777,ship,0.6292513,cat,1,79.51633930206299,,
ship,ship,59.302513,ship,30.486996,cat,6.809518,deer,1,59.30251479148865,,
bird,cat,74.56991,cat,13.858854,ship,4.806672,dog,1,74.56991076469421,,
car,car,93.088554,car,3.3792186,frog,1.6824272,cat,1,93.08855533599854,,
frog,cat,92.08169,cat,2.8758535,frog,1.4812543,dog,1,92.08168983459473,,
ship,ship,99.01887,ship,0.39807218,cat,0.21113518,frog,1,99.01886582374573,,
frog,frog,70.97113,frog,28.126823,bird,0.4994452,cat,1,70.97113132476807,,
ship,ship,84.682945,ship,5.5639224,deer,5.384201,plane,1,84.68294739723206,,
plane,deer,74.94911,deer,12.289802,plane,5.9675374,cat,1,74.94911551475525,,
deer,deer,86.62268,deer,11.378102,cat,1.0014913,dog,1,86.62267923355103,,
plane,plane,99.12707,plane,0.53773385,cat,0.19061211,deer,1,99.1270661354065,,
horse,deer,89.736626,deer,7.936173,cat,1.4382576,dog,1,89.73662853240967,,
horse,deer,99.94678,deer,0.027833588,horse,0.012242652,cat,1,99.94677901268005,,
dog,dog,86.11368,dog,13.2892685,cat,0.5464001,frog,1,86.1136794090271,,
dog,dog,92.20452,dog,7.3617897,cat,0.22757496,deer,1,92.20452308654785,,
